Name,Blank_R,Blank_G,Blank_B,Blank_I,BR_R,BR_G,BR_B,BR_I,BO_R,BO_G,BO_B,BO_I,GR_R,GR_G,GR_B,GR_I,BO_R,BO_G,BO_B,BO_I
1,176.372,188.5,168.64,177.823,93.958,178.945,183.289,152.161,128.268,200.15,2.009,110.256,203.142,147.864,51.153,133.947,208.117,184.117,24.022,138.799
1,180.159,193.713,178.47,183.948,95.365,189.538,196.934,160.351,135.199,209.106,3.208,115.985,212.886,158.122,57.789,143.031,200.618,176.285,21.351,132.807
1,174.249,187.224,167.803,176.509,92.731,181.671,187.544,153.962,131.758,199.035,2.777,111.219,207.576,153.725,56.516,139.189,208.773,183.45,24.657,138.923
1,174.268,185.561,169.32,176.452,95.538,181.953,187.137,154.784,129.263,199.627,1.872,110.268,209.156,154.152,55.089,139.405,203.733,179.27,22.401,135.237
1,177.072,190.628,174.716,180.81,96.444,183.474,186.98,155.71,129.392,199.923,1.894,110.402,210.366,155.352,55.657,140.478,206.01,181.186,23.464,136.892
1,169.373,180.87,161.476,170.625,94.548,183.609,189.648,155.883,139.582,209.041,3.826,117.447,206.244,150.423,51.973,136.12,210.085,186.163,24.757,140.354
1,165.43,176.76,156.673,166.329,99.779,191.124,197.011,162.588,133.034,200.039,3.071,112.053,209.124,154.163,54.833,139.376,202.382,177.626,22.065,134.116
1,171.547,184.173,165.548,173.886,96.568,189.42,196.172,160.481,136.394,205.508,3.666,115.109,213.637,161.174,59.867,145.011,199.845,175.123,21.207,132.16
1,180.382,193.455,176.904,183.664,96.997,188.024,194.193,159.638,136.372,205.672,3.604,115.122,209.564,154.25,54.98,139.559,205.802,182.197,23.158,137.137
1,166.15,176.168,155.326,165.936,97.303,190.099,196.048,160.994,126.282,198.907,9.606,111.524,215.106,160.58,59.802,145.343,199.21,176.234,20.576,132.077
1,169.811,181.568,161.764,171.122,97.373,190.791,198.262,161.999,129.236,202.803,10.725,114.183,210.819,156.009,56.004,140.956,212.374,187.125,26.161,141.828
1,173.843,186.751,175.119,178.501,95.427,186.307,192.372,157.916,119.949,189.184,13.544,107.555,214.544,162.323,62.12,146.383,210.706,185.155,25.589,140.416
1,174.091,185.264,168.765,176.115,95.602,195.797,205.971,165.866,130.617,207.556,15.158,117.734,213.81,158.444,58.598,143.621,213.534,189.217,26.366,142.968
1,173.816,187.017,168.05,176.476,95.99,187.954,194.873,159.438,128.865,208.027,15.02,117.296,213.544,159.199,58.493,143.878,210.625,184.89,25.581,140.306
1,175.961,187.968,168.275,177.408,94.915,183.446,189.574,155.796,128.959,203.365,13.237,115.064,206.159,152.813,55.818,138.215,214.258,188.995,27.026,143.347
1,173.492,185.367,164.511,174.466,96.507,190.049,197.126,161.082,132.478,208.032,15.327,118.51,212.762,155.155,55.593,141.035,210.714,186.966,24.943,140.872
1,175.099,186.135,166.155,175.818,97.294,186.34,190.87,158.096,130.003,203.152,12.767,115.288,211.261,155.477,55.77,140.806,208.616,182.534,25.152,138.732
1,170.238,180.064,161.554,170.685,97.52,187.821,194.243,159.869,135.999,209.806,15.746,120.457,211.929,156.885,57.75,142.153,205.374,180.946,23.174,136.504
1,169.91,180.932,162.548,171.225,97.233,185.914,191.884,158.195,138.252,214.6,15.431,122.783,216.129,158.394,57.409,143.86,210.782,185.828,25.306,140.614
1,175.83,188.925,170.651,178.696,99.649,191.726,197.643,162.927,130.896,206.321,13.441,116.741,215.988,158.162,57.062,143.657,213.578,189.966,26.237,143.234
1,167.665,178.431,158.365,168.15,98.472,189.068,195.056,160.764,131.177,204.311,12.257,115.926,218.509,162.814,61.231,147.657,202.008,177.522,21.814,133.802
1,172.225,185.882,168.002,175.642,98.649,195.208,202.929,165.54,124.752,195.758,12.231,110.862,200.004,151.883,57.346,136.32,211.838,188.035,25.59,141.808
1,167.588,177.611,160.835,168.703,96.401,192.662,199.817,162.913,129.453,203.302,13.834,115.427,216.648,160.509,59.84,145.733,215.457,190.606,27.242,144.314
1,177.675,189.926,173.198,180.354,94.687,185.844,192.075,157.521,132.112,209.169,14.672,118.598,212.847,159.406,57.978,143.569,216.078,191.623,27.489,144.96
1,173.21,184.089,163.411,173.635,96.995,190.342,196.754,161.164,128.817,203.409,12.481,114.839,215.746,158.511,57.856,143.924,208.011,183.787,24.174,138.688
1,171.608,181.574,163.754,172.387,96.183,189.05,195.802,160.146,133.835,210.73,13.641,119.292,216.846,162.086,60.89,146.753,210.717,185.765,25.413,140.597
1,163.162,175.078,154.917,164.456,95.544,185.34,190.988,157.188,129.855,208.001,11.721,116.448,211.037,154.015,55.304,139.984,204.519,179.35,23.242,135.738
1,167.701,178.272,157.701,167.912,96.465,193.859,203.137,164.37,128.364,201.941,11.765,113.924,213.034,157.162,56.941,142.404,204.629,180.883,22.749,136.138
1,169.48,180.868,160.237,170.254,96.99,190.938,198.568,161.924,131.877,210.066,12.579,118.045,212.552,155.559,55.958,141.242,210.478,186.488,25.062,140.686
1,169.618,180.89,160.574,170.357,98.857,192.011,199.147,163.29,128.835,204.531,13.708,115.572,209.986,153.473,54.667,139.224,201.374,176.932,21.647,133.403
1,179.985,193.026,177.956,183.605,99.96,192.468,199.423,163.922,134.069,208.208,12.544,118.247,210.26,153.653,54.969,139.532,208.422,184.678,24.134,139.146
1,173.397,186.356,168.75,176.363,96.859,189.858,197.198,161.145,126.981,201.687,12.846,113.722,218.694,162.425,61.442,147.599,213.092,188.186,26.167,142.403
1,179.275,194.162,177.408,183.658,98.549,190.669,197.465,162.124,125.212,196.221,14.85,112.084,214.265,158.552,58.291,143.733,210.11,185.947,24.953,140.364
1,171.325,195.674,149.557,172.184,95.998,184.761,190.049,156.773,128.47,201.02,14.604,114.68,217.123,159.515,58.154,144.805,208.05,184.374,23.961,138.884
2,175.31,195.11,167.229,179.112,91.916,186.413,203.353,160.532,134.613,210.891,27.228,124.272,210.109,152.079,60.959,141.089,215.477,187.712,27.723,143.627
2,174.97,197.949,175.679,183.056,92.563,194.337,214.136,166.927,131.17,204.607,24.698,120.034,218.52,160.652,66.412,148.443,216.818,191.41,28.139,145.329
2,181.416,202.34,177.502,187.086,88.845,185.544,204.101,159.309,132.91,205.371,24.605,120.906,213.628,155.331,62.722,143.859,206.377,178.7,24.191,136.432
2,182.481,205.518,182.385,190.268,91.044,185.656,203.252,159.929,137.805,213.503,28.972,126.707,209.733,151.47,60.484,140.61,202.301,174.661,22.737,133.265
2,180.648,201.807,175.487,185.981,89.437,192.933,213.852,165.313,134.331,206.059,24.642,121.669,218.224,161.239,66.998,148.812,208.284,181.689,24.898,138.26
2,176.863,198.874,173.379,183.138,92.906,196.584,216.833,168.686,137.411,211.849,26.518,125.187,217.449,159.381,65.065,147.226,214.124,187.141,27.119,142.786
2,180.946,203.589,178.853,187.859,93.958,197.376,217.612,169.554,139.437,217.045,30.013,128.805,204.846,147.483,58.018,136.719,203.206,174.681,23.262,133.752
2,177.554,197.874,171.092,182.001,92.343,196.666,217.075,168.639,142.559,218.031,26.768,128.997,213.111,154.944,63.114,143.677,213.901,188.241,27,142.952
2,178.527,199.951,175.866,184.809,91.055,192.567,212.492,165.24,127.868,196.743,22.867,115.871,217.351,160.925,66.711,148.389,213.739,186.308,27.111,142.377
2,172.213,191.763,163.515,175.761,91,192.516,212.355,165.19,138.681,212.082,24.594,125.042,214.036,155.416,63.129,144.164,219.014,191.826,28.98,146.548
2,179.399,200.349,173.799,184.458,87.094,191.07,212.557,163.459,127.996,197.18,23.723,116.407,203.993,146.831,58.083,136.179,214.497,187.433,27.511,143.122
2,176.99,199.933,178.107,185.26,91.972,194.493,214.912,166.993,139.681,213.809,27.182,126.85,216.586,158.807,65.98,147.099,210.48,184.409,25.515,140.093
2,182.033,203.808,178.755,188.277,91.94,194.697,215.399,167.207,135.22,205.629,25.271,122.037,221.913,163.156,67.078,150.588,203.279,175.93,23.216,134.185
2,169.77,191.735,170.908,177.703,90.102,183.292,200.96,158.125,134.405,206.851,24.266,121.81,214.513,157.086,64.529,145.402,211.482,185.85,26.217,141.144
2,179.54,201.852,177.999,186.579,91.551,188.215,206.394,161.873,133.481,207.651,23.658,121.506,215.574,158.489,64.478,146.192,208.505,182.425,24.908,138.583
2,178.492,200.537,176.295,185.195,91.102,192.236,212.545,165.167,135.513,211.152,26.762,124.412,213.644,155.811,63.626,144.378,212.868,185.657,26.745,141.742
2,181.445,202.188,176.498,186.688,91.858,194.541,215.039,167.034,134.985,207.303,25.396,122.543,216.058,158.381,65.109,146.515,210.667,184.086,25.945,140.205
2,172.554,194.566,171.58,179.646,90.735,193.34,214.279,165.949,142.158,215.369,27.21,128.166,215.198,157.351,65.125,145.903,213.948,186.913,27.279,142.675
2,185.299,204.848,178.432,189.422,91.014,190.863,210.835,164.162,136.341,211.161,26.879,124.759,214.884,157.766,64.662,145.792,212.263,186.374,26.512,141.666
2,181.28,202.983,178.454,187.625,91.251,195.784,216.59,167.802,137.674,213.508,26.919,126.034,215.675,158.542,64.846,146.365,207.844,180.164,24.875,137.629
2,174.361,196.681,177.59,182.851,91.453,197.028,218.526,168.962,137.844,212.03,25.024,124.909,214.422,158.027,65.206,145.916,210.66,183.939,25.809,140.112
2,182.199,204.339,179.449,188.761,90.16,191.196,211.718,164.235,131.359,202.297,25.107,119.647,213.963,156.614,64.155,144.93,205.776,178.137,24.108,136.025
2,176.154,197.716,171.992,181.99,90.391,189.366,209.134,162.852,133.407,206.889,26.763,122.248,217.434,161.326,67.252,148.736,210.838,183.233,25.927,139.992
2,170.319,192.633,173.869,179.019,90.808,189.788,209.616,163.34,135.978,210.902,27.491,124.742,209.583,151.335,60.631,140.57,214.037,188.238,27.197,143.111
2,176.747,199.467,174.713,183.722,90.368,194.665,215.673,166.817,134.765,205.351,26.753,122.316,209.687,151.566,60.748,140.688,210.515,183.995,25.899,140.121
2,173.639,195.822,173.338,181.081,90.765,190.097,210.128,163.575,132.516,204.524,26.81,121.288,214.04,155.922,62.814,144.248,209.578,183.436,25.344,139.411
2,178.651,200.762,178.832,186.285,90.439,190.386,210.439,163.69,133.619,206.769,28.096,122.737,210.598,155.555,64.11,143.34,202.662,174.674,23.087,133.49
2,177.726,200.042,175.643,184.556,91.867,188.834,207.418,162.518,132.484,206.698,27.18,122.083,209.204,152.547,62.364,141.309,216.384,188.948,28.304,144.529
2,180.157,201.249,175.398,185.593,92.627,188.643,207.411,162.746,141.702,215.984,27.062,128.15,206.348,148.563,59.229,138.071,213.485,187.624,26.91,142.613
2,185.598,206.756,185.877,192.83,91.967,198.94,220.778,170.571,141.461,214.749,26.964,127.671,217.597,159.38,65.382,147.397,210.41,182.164,25.795,139.457
2,173.621,192.581,164.779,176.836,93.388,194.106,214.253,167.174,136.063,209.698,26.709,124.06,221.049,162.11,67.282,150.003,212.164,185.665,26.477,141.404
2,175.112,198.657,177.722,184.006,90.79,185.731,204.26,160.182,134.361,205.975,25.72,122.014,211.205,153.072,61.626,142.023,207.965,182.091,24.539,138.166
2,182.402,202.496,176.125,186.865,91.466,191.812,211.584,164.894,135.126,209.164,24.548,122.881,219.742,162.161,68.223,150.021,221.65,193.892,30.021,148.516
2,179.069,199.818,174.151,184.308,92.896,189.96,208.336,163.579,133.768,206.849,26.205,122.242,208.036,150.048,60.646,139.602,207.793,179.625,24.802,137.427
3,175.086,197.549,169.462,180.754,89.154,183.023,200.888,157.697,126.061,195.123,24.556,115.366,213.356,157.397,65.143,145.276,203.104,176.146,22.901,134.09
3,179.131,202.956,179.074,187.032,87.648,191.025,212.073,163.459,130.346,204.807,25.924,120.351,207.59,151.491,61.654,140.164,213.234,187.214,26.872,142.403
3,171.419,194.327,166.596,177.501,88.579,192.887,213.831,165.005,138.098,212.716,27.216,125.946,213.55,157.565,65.654,145.613,212.18,186.52,26.286,141.607
3,165.166,184.68,155.043,168.372,88.105,191.169,211.888,163.564,131.161,206.077,26.812,121.316,210.837,155.208,64.756,143.527,208.809,183.182,24.753,138.897
3,172.686,195.172,167.202,178.412,87.464,188.613,208.938,161.548,135.244,208.115,24.224,122.476,209.84,153.792,63.098,142.201,210.826,183.342,26.184,140.111
3,173.957,195.872,167.201,179.113,88.102,189.388,209.573,162.269,131.86,208.584,26.143,122.13,213.075,154.727,63.152,143.676,205.254,179.733,23.406,136.166
3,172.744,195.222,167.135,178.411,89.628,190.028,209.648,163.015,134.234,208.875,25.499,122.821,215.711,160.362,67.363,147.76,207.671,179.371,24.732,137.283
3,180.886,202.222,174.146,185.776,88.961,196.029,216.894,167.343,133.003,207.054,25.318,121.714,208.375,151.331,60.886,140.154,211.453,185.407,26.12,140.96
3,176.07,198.786,171.233,182.055,91.113,199.541,220.425,170.454,129.918,208.624,27.707,122.116,213.495,155.863,63.376,144.207,208.162,180.755,24.897,137.93
3,174.694,196.924,168.685,180.177,85.779,185.701,206.161,159.155,130.191,203.102,24.838,119.317,215.291,157.006,63.469,145.178,212.136,185.259,26.472,141.245
3,178.671,198.77,169.539,182.421,87.795,193.777,214.885,165.503,131.424,208.418,26.333,122.029,219.723,167.224,71.767,152.779,200.657,173.583,22.177,132.178
3,173.822,196.945,170.036,180.249,85.44,198.815,223.005,169.283,139.158,217.898,27.692,128.264,209.508,152.741,61.372,141.246,203.837,179.336,22.58,135.297
3,175.209,197.88,169.843,181.024,87.883,188.137,208.124,161.286,130.49,203.042,25.275,119.54,214.876,158.545,65.431,146.366,203.195,176.464,23.112,134.276
3,172.934,196.758,173.165,181.031,86.976,185.563,205.151,159.111,134.358,210.453,26.129,123.672,212.932,155.991,62.981,144.026,203.543,176.543,23.108,134.427
3,174.463,195.143,166.643,178.793,86.627,181.414,199.939,155.841,132.697,208.413,25.473,122.179,213.842,157.899,65.291,145.674,208.656,182.454,25.05,138.691
3,165.589,189.158,165.39,173.417,89.666,187.062,205.768,160.659,130.657,208.372,26.387,121.756,214.155,157.746,65.298,145.769,210.413,183.276,25.902,139.83
3,178.289,200.855,174.075,184.399,83.704,190.43,212.571,162.277,136.045,210.294,25.035,123.701,220.688,165.993,70.49,152.318,207.793,181.431,24.6,137.914
3,175.293,199.1,174.233,182.869,89.041,190.258,210.293,163.092,131.941,205.368,25.985,121.008,216.928,161.661,67.738,148.742,207.911,180.201,24.811,137.656
3,175.142,194.912,164.84,178.447,89.468,189.87,209.687,162.947,134.33,210.474,26.894,123.899,214.973,159.824,66.49,146.988,212.251,185.93,26.452,141.517
3,176.981,197.334,167.619,180.776,87.338,189.434,210.525,162.26,134.849,211.928,26.644,124.491,209.649,152.56,61.095,141.134,214.146,187.409,27.243,142.881
3,171.577,191.787,161.618,175.149,85.999,188.351,209.306,161.075,127.661,198.137,21.83,115.958,215.215,157.166,63.877,145.375,214.565,187.748,27.265,143.149
3,180.151,202.906,176.071,186.312,87.084,190.55,211.833,163.016,130.323,204.926,24.078,119.75,209.475,152.064,60.662,140.729,212.117,185.75,26.281,141.357
3,175.233,196.149,167.393,179.664,85.93,183.135,202.297,156.984,131.154,202.508,23.475,119.093,214.83,157.283,63.757,145.232,205.588,179.934,23.502,136.35
3,176.81,197.956,169.676,181.516,87.678,191.073,212.14,163.53,129.963,200.821,23.274,118.079,213.695,155.94,62.87,144.121,207.175,180.062,24.578,137.274
3,173.568,193.318,163.172,176.812,84.42,179.305,197.859,153.742,134.392,209.36,24.687,122.774,215.417,157.669,64.203,145.71,210.619,183.162,25.817,139.866
3,171.254,194.586,168.664,178.17,86.875,182.982,201.295,156.872,135.804,209.996,23.508,123,216.539,158.812,64.839,146.648,207.602,179.644,25.266,137.511
3,169.964,190.215,161.02,173.811,87.153,187.934,208.817,161.187,132.376,208.977,26.007,122.434,212.457,154.007,62.222,142.905,210.066,183.315,25.501,139.609
3,176.494,200.03,173.964,183.414,87.401,189.056,210.099,161.994,132.463,208.66,25.909,122.311,213.967,157.285,64.292,145.248,213.009,187.566,26.603,142.328
3,178.075,201.29,176.013,185.188,86.907,186.709,206.474,159.952,131.555,208.613,26.114,122.049,212.014,153.412,61.767,142.415,194.381,169.324,19.752,127.89
3,168.601,191.353,164.287,174.816,88.602,194.538,216.072,166.362,131.157,209.039,25.567,121.852,211.472,155.252,63.789,143.508,196.686,171.587,20.32,129.626
3,180.499,204.348,182.736,189.356,85.721,191.853,213.347,163.64,128.309,199.059,22.631,116.752,211.97,155.004,62.511,143.203,203.327,177.659,22.647,134.578
3,166.26,189.046,162.056,172.519,90.24,189.582,208.896,162.78,132.195,210.246,27.35,123.286,208.584,152.772,62.242,141.111,206.338,180.188,23.985,136.815
3,161.366,183.95,157.086,167.487,87.687,191.624,213.039,163.988,131.846,206.342,24.126,120.71,217.095,158.466,63.687,146.266,207.356,180.517,24.61,137.482
3,171.745,191.747,162.558,175.42,88.196,192.158,213.258,164.428,132.152,209.084,25.677,122.29,215.397,156.873,63.36,145.124,212.124,184.555,26.55,141.06
4,167.156,186.473,161.519,171.616,88.769,188.912,211.33,162.777,135.862,207.466,25.383,122.895,217,159.508,65.423,147.29,208.474,180.006,24.981,137.853
4,175.953,195.015,171.405,180.671,87.868,187.18,208.651,161.236,137.29,211.343,26.837,125.058,219.827,160.018,65.248,148.196,215.988,188.395,27.993,144.096
4,175.299,194.095,169.553,179.559,90.726,183.055,204.555,159.581,132.613,204.751,25.702,121.008,214.905,156.431,63.874,145.034,211.886,183.452,26.533,140.639
4,178.392,198.684,176.579,184.598,94.684,191.349,211.293,165.706,130.78,200.923,25.001,119.039,211.704,152.939,62.307,142.415,209.331,181.83,25.422,138.858
4,174.785,195.643,173.573,181.359,90.255,190.321,212.38,164.159,131.246,203.711,24.83,119.906,218.03,159.667,65.545,147.69,208.829,181.693,25.108,138.518
4,178.107,198.206,175.816,183.969,93.815,191.659,212.047,165.743,130.71,203.986,25.142,119.863,218.442,159.156,65.168,147.457,211.952,183.517,26.417,140.623
4,170.171,192.011,169.085,177.169,90.01,190.155,211.99,163.903,130.922,204.231,26.396,120.444,216.644,157.378,64.121,146.016,211.035,182.121,26.344,139.833
4,177.744,196.037,170.483,181.24,88.311,186.926,208.364,161.207,131.148,202.275,25.87,119.825,212.576,153.967,62.511,143.073,217.504,190.183,28.6,145.396
4,171.537,190.623,165.814,175.895,87.519,185.5,207.035,159.953,136.979,208.017,26.284,123.768,218.212,158.968,64.863,147.229,213.469,187.489,26.728,142.525
4,175.159,195.586,172.811,181.105,90.944,197.539,220.528,169.664,134.915,206.79,26.436,122.713,217.182,157.913,64.461,146.469,205.115,177.398,23.657,135.423
4,176.711,193.533,167.42,179.177,88.27,188.208,210.556,162.169,131.277,200.347,26.61,119.517,211.425,153.491,62.682,142.558,213.674,185.505,27.12,142.086
4,178.357,194.776,168.059,180.459,88.977,188.193,209.732,162.196,139.925,214.294,26.902,127.003,214.229,157.979,65.866,146.029,209.765,181.649,25.596,139.011
4,176.247,193.805,168.393,179.386,85.563,192.391,216.891,165.05,129.761,203.725,26.005,119.807,214.401,156.989,65.18,145.589,210.693,183.254,25.848,139.923
4,172.81,194.542,172.634,180.152,94.164,194.527,214.899,167.798,134.332,208.04,26.211,122.758,219.328,160.576,66.817,148.839,212.241,183.851,26.728,140.958
4,173.784,192.62,167.79,177.961,92.37,190.177,210.178,164.147,133.426,207.123,26.186,122.162,221.713,163.027,67.622,150.665,208.135,180.636,24.962,137.905
4,177.141,196.844,174.956,182.863,88.455,190.195,212.555,163.513,135.945,210.455,26.808,124.343,217.732,159.159,65.526,147.436,211.707,183.905,26.21,140.599
4,183.654,201.184,175.502,186.647,91.336,190.113,211.033,164.094,138.349,212.517,25.186,125.293,217.134,158.887,66.069,147.354,206.835,179.185,24.419,136.836
4,178.829,197.215,171.812,182.482,89.955,187.023,208.032,161.566,136.738,212.05,25.886,124.825,213.83,155.228,64.046,144.435,208.908,180.827,25.231,138.317
4,175.608,195.618,173.019,181.365,83.585,194.7,220.819,166.515,129.219,199.516,23.393,117.492,216.327,158.997,66.359,147.27,205.314,177.57,23.88,135.613
4,183.877,203.018,178.368,188.287,88.874,190.451,212.933,163.904,132.782,207.122,25.001,121.556,217.105,159.598,66.94,147.957,206.826,178.941,24.254,136.684
4,177.57,197.974,175.516,183.648,90.104,193.333,215.41,166.11,129.618,199.803,23.564,117.752,214.635,159.038,66.465,146.72,213.129,185.234,26.754,141.707
4,183.361,200.131,174.299,185.902,90.359,188.41,209.431,162.667,132.678,204.723,24.583,120.631,223.579,165.152,69.242,152.554,212.15,184.656,26.5,141.095
4,182.805,201.491,178.139,187.419,88.409,188.192,210.268,162.178,129.488,201.322,25.445,118.752,222.682,164.038,68.479,151.641,216.118,188.121,27.95,144.028
4,184.119,202.13,177.884,187.995,91.995,191.603,212.547,165.324,136.374,208.833,25.734,123.614,217.841,159.475,65.582,147.549,212.849,184.764,26.913,141.496
4,174.942,192.472,166.784,177.99,88.384,190.326,212.741,163.666,128.067,199.113,24.488,117.272,212.912,156.742,65.056,144.92,209.252,181.108,25.338,138.576
4,175.991,195.178,171.681,180.83,97.537,196.729,216.867,170.25,129.597,199.745,24.282,117.99,215.258,157.873,65.73,146.345,207.719,178.981,24.867,137.227
4,176.371,195.949,173.391,181.785,92.069,192.387,213.679,165.926,131.469,202.422,24.81,119.634,215.325,156.431,64.396,145.401,204.818,176.36,23.64,135
4,184.066,201.947,178.431,188.081,90.507,197.803,221.764,170.068,131.625,204.673,24.343,120.122,218.865,160.405,66.521,148.518,217.517,189.821,28.412,145.2
4,170.252,190.039,166.234,175.444,91.468,189.985,211.155,164.128,137.008,210.632,25.655,124.32,217.274,159.103,65.941,147.411,212.261,183.933,26.64,140.937
4,184.407,202.267,176.265,187.491,93.302,191.295,211.788,165.359,131.768,201.545,22.724,118.701,210.51,153.071,62.729,142.062,219.574,191.983,29.24,146.897
4,174.847,194.094,170.265,179.634,91.62,192.413,213.525,165.728,132.274,203.805,26,120.725,212.852,156.377,65.179,144.745,208.215,180.51,24.861,137.877
4,188.342,206.202,181.936,192.094,91.648,190.853,212.121,164.821,134.73,208.79,25.955,123.093,210.332,152.1,62.268,141.622,208.215,180.51,24.861,137.877
4,169.967,188.576,163.632,173.977,95.488,191.42,211.599,166.074,138.883,210.076,28.277,125.779,211.866,154.533,64.09,143.44,203.971,176.487,23.151,134.58
4,180.164,197.941,171.664,183.126,92.68,192.265,213.336,166.051,133.887,203.594,27.458,121.746,223.397,165.372,69.38,152.591,216.164,188.559,27.943,144.196
